,Name,Party,Position,Score,State,Tenure,YOB
315,"Peterson, Collin Clark",D,Rep,-2480820600000.0,MN,11,1944
316,"Peterson, John",R,Rep,-2756016600000.0,PA,6,1938
317,"Petri, Thomas Evert",R,Rep,-1708644100000.0,WI,9,1940
318,"Pickering, Charles W. (Chip), Jr.",R,Rep,-2716343100000.0,MS,6,1963
319,"Pickett, Owen Bradford",D,Rep,-247886200000.0,VA,2,1930
320,"Pitts, Joseph R.",R,Rep,-1748657600000.0,PA,10,1939
321,"Pombo, Richard William",R,Rep,-2685220100000.0,CA,5,1961
322,"Pomeroy, Earl Ralph, III",D,Rep,-2576008100000.0,ND,7,1952
323,"Porter, John Edward",R,Rep,-271724700000.0,IL,2,1935
324,"Portman, Robert Jones (Rob)",R,Rep,-1939879100000.0,OH,5,1955
325,"Poshard, Glenn",D,Rep,-228775700000.0,IL,1,1945
326,"Price, David Eugene",D,Rep,-2522764100000.0,NC,11,1940
327,"Pryce, Deborah D.",R,Rep,-2716905600000.0,OH,6,1951
328,"Quinn, John Francis (Jack)",R,Rep,-384967600000.0,NY,4,1951
329,"Radanovich, George P.",R,Rep,-2743273600000.0,CA,7,1955
330,"Rahall, Nick Joe, II",D,Rep,-2516729600000.0,WV,9,1949
331,"Ramstad, James (Jim)",R,Rep,-1187369100000.0,MN,6,1946
332,"Rangel, Charles B.",D,Rep,-2007120600000.0,NY,10,1930
333,"Redmond, William Thomas",R,Rep,-229021500000.0,NM,1,1955
334,"Regula, Ralph Straus",R,Rep,-2760558600000.0,OH,6,1924
335,"Reyes, Silvestre",D,Rep,-2522108100000.0,TX,8,1944
336,"Richardson, Bill",D,Rep,0.0,NM,1,1947
337,"Riggs, Frank D.",R,Rep,-229138200000.0,CA,1,1950
338,"Riley, Robert",R,Rep,-1373579600000.0,AL,3,1944
339,"Rivers, Lynn Nancy",D,Rep,-316380100000.0,MI,3,1956
340,"Rodriguez, Ciro D.",D,Rep,-1413829600000.0,TX,6,1946
341,"Roemer, Timothy John",D,Rep,-1348754600000.0,IN,3,1956
342,"Rogan, James E.",R,Rep,-272198200000.0,CA,2,1957
343,"Rogers, Harold Dallas (Hal)",R,Rep,-2781904600000.0,KY,11,1937
344,"Rohrabacher, Dana",R,Rep,-1718124800000.0,CA,11,1947
345,"Romero-barceló, Carlos A.",R,Rep,0.0,PR,2,1932
346,"Ros-lehtinen, Ileana",R,Rep,0.0,FL,11,1952
347,"Rothman, Steven",D,Rep,-1479725100000.0,NJ,8,1952
348,"Roukema, Margaret Scafati",R,Rep,-348398200000.0,NJ,3,1929
349,"Roybal-allard, Lucille",D,Rep,0.0,CA,11,1941
350,"Royce, Edward Randall",R,Rep,-1503901900000.0,CA,11,1951
351,"Rush, Bobby L.",D,Rep,-1933944600000.0,IL,11,1946
352,"Ryun, Jim",R,Rep,-2691385600000.0,KS,5,1947
353,"Sabo, Martin Olav",D,Rep,-2497486600000.0,MN,5,1938
354,"Salmon, Matthew James",R,Rep,-75586700000.0,AZ,4,1958
355,"Sanchez, Loretta",D,Rep,-309920300000.0,CA,10,1960
356,"Sanders, Bernard",I,Rep,-1374055600000.0,VT,5,1941
357,"Sandlin, Max A.",D,Rep,-1355373600000.0,TX,4,1952
358,"Sanford, Mark",R,Rep,-43618000000.0,SC,5,1960
359,"Sawyer, Thomas Charles",D,Rep,-1348280100000.0,OH,3,1945
360,"Saxton, Hugh James",R,Rep,-2760643600000.0,NJ,6,1943
361,"Scarborough, Charles Joseph",R,Rep,-255923700000.0,FL,3,1963
362,"Schaefer, Daniel",R,Rep,0.0,CO,1,1936
363,"Schaffer, Robert W.",R,Rep,-1090631400000.0,CO,3,1962
364,"Schiff, Steven Harvey",R,Rep,0.0,NM,1,1947
365,"Schumer, Charles Ellis (Chuck)",D,Rep,-228775700000.0,NY,1,1950
366,"Scott, Robert C.",D,Rep,-2480140600000.0,VA,11,1947
367,"Sensenbrenner, Frank James, Jr.",R,Rep,-1170023000000.0,WI,11,1943
368,"Serrano, José E.",D,Rep,-2027494600000.0,NY,11,1943
369,"Sessions, Pete",R,Rep,-2542348600000.0,TX,11,1955
370,"Shadegg, John B.",R,Rep,-977956600000.0,AZ,7,1949
371,"Shaw, Eugene Clay, Jr.",R,Rep,-1663067600000.0,FL,5,1939
372,"Shays, Christopher H.",R,Rep,-1727975100000.0,CT,6,1945
373,"Sherman, Brad",D,Rep,-2523089100000.0,CA,11,1954
374,"Shimkus, John M.",R,Rep,-2784206600000.0,IL,11,1958
375,"Shuster, E. G. (Bud)",R,Rep,-1377374600000.0,PA,3,1932
376,"Sisisky, Norman",D,Rep,-243456200000.0,VA,3,1927
377,"Skaggs, David Evans",D,Rep,-223683700000.0,CO,1,1943
378,"Skeen, Joseph Richard",R,Rep,-1388612600000.0,NM,3,1927
379,"Skelton, Isaac Newton, IV (Ike)",D,Rep,-2577173600000.0,MO,7,1931
380,"Slaughter, Louise McIntosh",D,Rep,-996559600000.0,NY,11,1929
381,"Smith, Adam",D,Rep,-1272387600000.0,WA,11,1965
382,"Smith, Christopher Henry",R,Rep,-2782138600000.0,NJ,11,1953
383,"Smith, Lamar Seeligson",R,Rep,-2786446600000.0,TX,11,1947
384,"Smith, Linda",R,Rep,0.0,WA,1,1950
385,"Smith, Nick H.",R,Rep,-1421703600000.0,MI,4,1934
386,"Smith, Robert Freeman",R,Rep,-7225200000.0,OR,1,1931
387,"Snowbarger, Vincent K.",R,Rep,-229250200000.0,KS,1,1949
388,"Snyder, Victor F.",D,Rep,-2527656100000.0,AR,7,1947
389,"Solomon, Gerald Brooks Hunt",R,Rep,-229250200000.0,NY,1,1930
390,"Souder, Mark Edward",R,Rep,-2533991600000.0,IN,7,1950
391,"Spence, Floyd Davidson",R,Rep,-276056200000.0,SC,3,1928
392,"Spratt, John McKee, Jr.",D,Rep,-2521639900000.0,SC,7,1942
393,"Stabenow, Deborah Ann",D,Rep,-247523700000.0,MI,2,1950
394,"Stark, Fortney Hillman (Pete), Jr.",D,Rep,-683439600000.0,CA,8,1931
395,"Stearns, Clifford Bundy",R,Rep,-1475251600000.0,FL,8,1941
396,"Stenholm, Charles Walter",D,Rep,-1398631600000.0,TX,4,1938
397,"Stokes, Louis",D,Rep,-228663700000.0,OH,1,1925
398,"Strickland, Ted",D,Rep,-2412387600000.0,OH,5,1941
399,"Stump, Robert Lee",R,Rep,-1164742300000.0,AZ,3,1927
400,"Stupak, Bart T.",D,Rep,-1990098600000.0,MI,7,1952
401,"Sununu, John E.",R,Rep,-360054600000.0,NH,3,1964
402,"Talent, James Matthes",R,Rep,-267656200000.0,MO,2,1956
403,"Tanner, John S.",D,Rep,-2508028600000.0,TN,7,1944
404,"Tauscher, Ellen O'Kane",D,Rep,-1495657100000.0,CA,7,1951
405,"Tauzin, Wilbert Joseph (Billy)",R,Rep,-1443306100000.0,LA,4,1943
406,"Taylor, Charles Hart",R,Rep,-2669749600000.0,NC,5,1941
407,"Taylor, Gary Eugene (Gene)",D,Rep,-2574765100000.0,MS,7,1953
408,"Tejeda, Frank",D,Rep,0.0,TX,1,1945
409,"Thomas, William Marshall",R,Rep,-2681680800000.0,CA,5,1941
410,"Thompson, Bennie",D,Rep,-1448753600000.0,MS,11,1948
411,"Thornberry, William McClellan (Mac)",R,Rep,-2289004600000.0,TX,11,1958
412,"Thune, John",R,Rep,-1372954600000.0,SD,3,1961
413,"Thurman, Karen L.",D,Rep,-1333192600000.0,FL,3,1951
414,"Tiahrt, Todd",R,Rep,-2759273600000.0,KS,7,1951
415,"Tierney, John F.",D,Rep,-956708600000.0,MA,9,1951
416,"Torres, Esteban Edward",D,Rep,-228663700000.0,CA,1,1930
417,"Towns, Edolphus",D,Rep,-2484827300000.0,NY,8,1934
418,"Traficant, James A., Jr.",D,Rep,-1375644200000.0,OH,3,1941
419,"Turner, Jim",D,Rep,-1404373600000.0,TX,4,1946
420,"Underwood, Robert A.",D,Rep,0.0,GU,3,1948
421,"Upton, Frederick Stephen",R,Rep,-2650407100000.0,MI,11,1953
422,"Velázquez, Nydia M.",D,Rep,0.0,NY,11,1953
423,"Vento, Bruce Frank",D,Rep,-229975700000.0,MN,2,1940
424,"Visclosky, Peter",D,Rep,-1341442100000.0,IN,11,1949
425,"Walsh, James T.",R,Rep,-2737166600000.0,NY,6,1947
426,"Wamp, Zachary Paul",R,Rep,-1719918100000.0,TN,7,1957
427,"Waters, Maxine",D,Rep,-864764600000.0,CA,11,1938
428,"Watkins, Wesley Wade",R,Rep,-1380370100000.0,OK,3,1938
429,"Watt, Melvin L.",D,Rep,-2025191100000.0,NC,9,1945
430,"Watts, Julius Caesar, Jr. (J. C.)",R,Rep,-1391954600000.0,OK,3,1957
431,"Waxman, Henry Arnold",D,Rep,-1453243600000.0,CA,9,1939
432,"Weldon, David Joseph",R,Rep,-2747472600000.0,FL,6,1953
433,"Weldon, Wayne Curtis (Curt)",R,Rep,-2662537600000.0,PA,5,1947
434,"Weller, Gerald C. (Jerry)",R,Rep,-2747338600000.0,IL,6,1957
435,"Wexler, Robert",D,Rep,-1271986100000.0,FL,7,1961
436,"Weygand, Robert A.",D,Rep,-242981700000.0,RI,2,1948
437,"White, Richard Alan (Rick)",R,Rep,-229250200000.0,WA,1,1953
438,"Whitfield, Wayne Edward (Ed)",R,Rep,-2736145600000.0,KY,10,1943
439,"Wicker, Roger F.",R,Rep,-2691386600000.0,MS,6,1951
440,"Wilson, Heather",R,Rep,-2752601900000.0,NM,6,1960
441,"Wise, Robert Ellsworth, Jr.",D,Rep,-254175700000.0,WV,2,1948
442,"Wolf, Frank Rudolph",R,Rep,-2786648600000.0,VA,9,1939
443,"Woolsey, Lynn C.",D,Rep,-1979844600000.0,CA,8,1937
444,"Wynn, Albert Russell",D,Rep,-2487438100000.0,MD,6,1951
445,"Yates, Sidney Richard",D,Rep,-1541000000.0,IL,1,1909
446,"Young, Charles William (Bill)",R,Rep,-1022076600000.0,FL,9,1930
447,"Young, Donald Edwin",R,Rep,-2763336800000.0,AK,11,1933
448,"Baca, Joe",D,Rep,-2291809900000.0,CA,7,1947
449,"Baird, Brian",D,Rep,-1852641400000.0,WA,6,1956
450,"Baldwin, Tammy",D,Rep,-722818900000.0,WI,7,1962
451,"Berkley, Shelley",D,Rep,-2289501400000.0,NV,7,1951
452,"Biggert, Judy Borg",R,Rep,-1499323400000.0,IL,7,1937
453,"Capuano, Michael Everett",D,Rep,-1255483400000.0,MA,10,1952
454,"Crowley, Joseph",D,Rep,-2294266400000.0,NY,10,1962
455,"Demint, James W.",R,Rep,0.0,SC,3,1951
456,"Faleomavaega, Eni F. H.",D,Rep,0.0,AS,8,1943
457,"Fletcher, Ernest L.",R,Rep,-1201813400000.0,KY,3,1952
458,"Gonzalez, Charles A.",D,Rep,-2293327400000.0,TX,7,1945
459,"Green, Mark",R,Rep,-1429525900000.0,WI,4,1960
460,"Hayes, Robert (Robin)",R,Rep,-2524279900000.0,NC,5,1945
461,"Hill, Baron P.",D,Rep,-1243510900000.0,IN,5,1953
462,"Hoeffel, Joseph M.",D,Rep,-85613400000.0,PA,3,1950
463,"Holt, Rush",D,Rep,-2252763400000.0,NJ,8,1948
464,"Inslee, Jay Robert",D,Rep,-2257461400000.0,WA,7,1951
465,"Isakson, Johnny",R,Rep,-1206286400000.0,GA,3,1944
466,"Jones, Stephanie Tubbs",D,Rep,-731841400000.0,OH,5,1949
467,"Kuykendall, Steven T.",R,Rep,-42948000000.0,CA,1,1947
468,"Larson, John B.",D,Rep,-2297550900000.0,CT,10,1948
469,"Lucas, Ken",D,Rep,-1219938100000.0,KY,3,1933
470,"Miller, Gary G.",R,Rep,0.0,CA,8,1948
471,"Moore, Dennis",D,Rep,-2347923400000.0,KS,6,1945
472,"Napolitano, Grace Flores",D,Rep,-2280954400000.0,CA,10,1936
473,"Ose, Doug",R,Rep,-1219957900000.0,CA,3,1955
474,"Phelps, David Dwain",D,Rep,-1114962400000.0,IL,2,1947
475,"Reynolds, Thomas M.",R,Rep,-2531308400000.0,NY,5,1950
476,"Ryan, Paul D.",R,Rep,-1482540400000.0,WI,10,1970
477,"Schakowsky, Janice D.",D,Rep,-1759624900000.0,IL,10,1944
478,"Sherwood, Don",R,Rep,-1414648400000.0,PA,4,1941
479,"Shows, Clifford Ronald",D,Rep,-1109762400000.0,MS,2,1947
480,"Simpson, Michael K.",R,Rep,-2555111900000.0,ID,10,1950
481,"Sweeney, John E.",R,Rep,-2444067400000.0,NY,4,1955
482,"Tancredo, Thomas G.",R,Rep,-1256930400000.0,CO,5,1945
483,"Terry, Lee Raymond",R,Rep,-2553823400000.0,NE,8,1962
484,"Thompson, Michael",D,Rep,-2293968400000.0,CA,10,1951
485,"Toomey, Patrick Joseph",R,Rep,-181462900000.0,PA,3,1961
486,"Udall, Mark",D,Rep,-1262239400000.0,CO,5,1950
487,"Udall, Thomas (Tom)",D,Rep,-1261639900000.0,NM,5,1948
488,"Vitter, David",R,Rep,-1211282900000.0,LA,3,1961
489,"Walden, Greg",R,Rep,-2554904400000.0,OR,10,1957
490,"Weiner, Anthony D.",D,Rep,-1266811400000.0,NY,7,1964
491,"Wu, David",D,Rep,-1844773400000.0,OR,7,1955
492,"Acevedo-vilá, Aníbal",D,Rep,0.0,PR,2,1962
493,"Akin, W. Todd",R,Rep,-2484597400000.0,MO,6,1947
494,"Boozman, John",R,Rep,-1385460400000.0,AR,5,1950
495,"Brown, Henry Edward, Jr.",R,Rep,-1994199400000.0,SC,5,1935
496,"Cantor, Eric",R,Rep,-2488830400000.0,VA,7,1963
497,"Capito, Shelley Moore",R,Rep,-2514360400000.0,WV,7,1953
498,"Carson, Brad",D,Rep,-1106945400000.0,OK,2,1967
499,"Case, Ed",D,Rep,-1159621500000.0,HI,3,1952
500,"Clay, William Lacy, Jr.",D,Rep,-2268454600000.0,MO,9,1956
501,"Crenshaw, Ander",R,Rep,-2514245400000.0,FL,8,1944
502,"Culberson, John",R,Rep,-1364945400000.0,TX,9,1956
503,"Davis, Jo Ann",R,Rep,0.0,VA,4,1950
504,"Davis, Susan A.",D,Rep,-1248232400000.0,CA,9,1944
505,"Ferguson, Michael",R,Rep,-1456545400000.0,NJ,4,1970
506,"Flake, Jeff",R,Rep,-779829000000.0,AZ,6,1962
507,"Forbes, J. Randy",R,Rep,-2504635400000.0,VA,8,1952
508,"Graves, Samuel",R,Rep,-2514278400000.0,MO,9,1963
509,"Grucci, Jr., Felix J.",R,Rep,-1120956400000.0,NY,1,1951
510,"Hart, Melissa A.",R,Rep,-2420562400000.0,PA,3,1962
511,"Honda, Mike",D,Rep,-1248023400000.0,CA,8,1941
512,"Israel, Steve",D,Rep,-2305699400000.0,NY,8,1958
513,"Issa, Darrell",R,Rep,-2476498400000.0,CA,9,1953
514,"Johnson, Timothy V.",R,Rep,-2439330400000.0,IL,6,1946
515,"Keller, Richard (Ric)",R,Rep,-2488360400000.0,FL,4,1964
516,"Kennedy, Mark",R,Rep,-2420562400000.0,MN,3,1957
517,"Kerns, Brian D.",R,Rep,-1120856800000.0,IN,1,1957
518,"Kirk, Mark Steven",R,Rep,-2488331400000.0,IL,5,1959
519,"Langevin, James",D,Rep,-2280251400000.0,RI,9,1964
520,"Larsen, Richard Ray (Rick)",D,Rep,-2328978400000.0,WA,9,1965
521,"Lynch, Stephen F.",D,Rep,-1197006400000.0,MA,9,1955
522,"Matheson, James David (Jim)",D,Rep,-2306060400000.0,UT,7,1960
523,"Mccollum, Betty",D,Rep,0.0,MN,9,1954
524,"Miller, Jefferson B. (Jeff)",R,Rep,-1417603000000.0,FL,8,1959
525,"Osborne, Thomas",R,Rep,-2419668300000.0,NE,3,1937
526,"Otter, C. L. (Butch)",R,Rep,-1887321900000.0,ID,3,1942
527,"Pence, Mike",R,Rep,-2458573400000.0,IN,6,1959
528,"Platts, Todd",R,Rep,-2488360400000.0,PA,6,1962
529,"Putnam, Adam",R,Rep,-2480730400000.0,FL,5,1974
530,"Rehberg, Denny",R,Rep,-2487360900000.0,MT,6,1955
531,"Rogers, Mike",R,Rep,-2499051900000.0,MI,7,1963
532,"Ross, Michael Avery",D,Rep,-2279779400000.0,AR,6,1961
533,"Schiff, Adam",D,Rep,-2279851400000.0,CA,9,1960
534,"Schrock, Edward",R,Rep,-145090100000.0,VA,2,1941
535,"Shuster, William (Bill)",R,Rep,-2502375400000.0,PA,9,1961
536,"Simmons, Robert (Rob)",R,Rep,-1388381400000.0,CT,3,1943
537,"Solis, Hilda L.",D,Rep,-1731669900000.0,CA,5,1957
538,"Sullivan, John",R,Rep,-1365627400000.0,OK,6,1965
539,"Tiberi, Patrick (Pat)",R,Rep,-2488853400000.0,OH,9,1962
540,"Watson, Diane Edith",D,Rep,-2165953400000.0,CA,5,1933
541,"Wilson, Addison Graves (Joe)",R,Rep,-2488709400000.0,SC,9,1947
542,"Alexander, Rodney",R,Rep,-1338595500000.0,LA,6,1946
543,"Ballance, Frank W., Jr.",D,Rep,3535000000.0,NC,1,1942
544,"Barrett, James Gresham",R,Rep,-1363265000000.0,SC,4,1961
545,"Beauprez, Bob",R,Rep,-1284412500000.0,CO,2,1948
546,"Bell, Chris",D,Rep,-56093500000.0,TX,1,1959
547,"Bishop, Robert (Rob)",R,Rep,-1376986000000.0,UT,8,1951
548,"Bishop, Timothy H.",D,Rep,-1179207000000.0,NY,6,1950
549,"Blackburn, Marsha",R,Rep,-1365579000000.0,TN,8,1952
550,"Bonner, Jr., Josiah Robins (Jo)",R,Rep,-1393289000000.0,AL,6,1959
551,"Bordallo, Madeleine",D,Rep,0.0,GU,4,1933
552,"Bradley, Jeb",R,Rep,-1299606000000.0,NH,2,1952
553,"Brown-waite, Virginia (Ginny)",R,Rep,0.0,FL,4,1943
554,"Burgess, Michael C.",R,Rep,-1390002000000.0,TX,8,1950
555,"Burns, Max",R,Rep,-55949500000.0,GA,1,1948
556,"Butterfield, George Kenneth, Jr. (G.K.)",D,Rep,-1173516500000.0,NC,8,1947
557,"Cardoza, Dennis A.",D,Rep,-1226921500000.0,CA,5,1959
558,"Carter, John R.",R,Rep,-1389692000000.0,TX,8,1941
559,"Chandler, A. B. (Ben)",D,Rep,-1181598000000.0,KY,5,1959
560,"Chocola, Chris",R,Rep,-1299606000000.0,IN,2,1962
561,"Cole, Tom",R,Rep,-1393292000000.0,OK,8,1949
562,"Cooper, James Hayes Shofner",D,Rep,-1163747500000.0,TN,8,1954
563,"Davis, Artur",D,Rep,-1179138000000.0,AL,4,1967
564,"Davis, Lincoln",D,Rep,-1250354000000.0,TN,4,1943
565,"Diaz-balart, Mario",R,Rep,0.0,FL,8,1961
566,"Emanuel, Rahm",D,Rep,-1178292500000.0,IL,3,1959
567,"Feeney, Tom",R,Rep,-1342014000000.0,FL,3,1958
568,"Franks, Trent",R,Rep,-1186069000000.0,AZ,8,1957
569,"Garrett, Scott",R,Rep,-1387334000000.0,NJ,7,1959
570,"Gerlach, Jim",R,Rep,-1393123000000.0,PA,6,1955
571,"Gingrey, Phil",R,Rep,-1390620000000.0,GA,6,1942
572,"Grijalva, Raúl M.",D,Rep,-686156500000.0,AZ,8,1948
573,"Harris, Katherine",R,Rep,-1299606000000.0,FL,2,1957
574,"Hensarling, Jeb",R,Rep,-1364142000000.0,TX,8,1957
575,"Herseth sandlin, Stephanie",D,Rep,0.0,SD,4,1970
576,"Janklow, William J.",R,Rep,-45425000000.0,SD,1,1939
577,"King, Steve",R,Rep,-1388737000000.0,IA,8,1949
578,"Kline, John",R,Rep,-1393384000000.0,MN,7,1947
579,"Majette, Denise L.",D,Rep,-45609000000.0,GA,1,1955
580,"Marshall, Jim",D,Rep,-1366478500000.0,GA,4,1948
581,"Mccotter, Thaddeus George",R,Rep,0.0,MI,5,1965
582,"Meek, Kendrick B.",D,Rep,-1176758000000.0,FL,4,1966
583,"Michaud, Michael H.",D,Rep,-1178047500000.0,ME,6,1955
584,"Miller, Brad",D,Rep,-1179001000000.0,NC,5,1953
585,"Miller, Candice S.",R,Rep,-1393404000000.0,MI,7,1954
586,"Murphy, Timothy",R,Rep,-1325494000000.0,PA,8,1952
587,"Musgrave, Marilyn N",R,Rep,-1362888000000.0,CO,3,1949
588,"Neugebauer, Randy",R,Rep,-1342089000000.0,TX,7,1949
589,"Nunes, Devin",R,Rep,-1390207500000.0,CA,8,1973
590,"Pearce, Stevan",R,Rep,-1392407500000.0,NM,7,1947
591,"Porter, Jon C.",R,Rep,-1367469000000.0,NV,3,1955
592,"Renzi, Rick",R,Rep,-1367404000000.0,AZ,3,1958
593,"Rogers, Mike Dennis",R,Rep,-901905000000.0,AL,8,1958
594,"Ruppersberger, C. A. (Dutch)",D,Rep,-1073206000000.0,MD,8,1946
595,"Ryan, Timothy J.",D,Rep,-1178119500000.0,OH,8,1973
596,"Sánchez, Linda T.",D,Rep,0.0,CA,8,1969
597,"Scott, David",D,Rep,-1179423000000.0,GA,8,1945
598,"Turner, Michael R.",R,Rep,-1367292000000.0,OH,8,1960
599,"Van hollen, Christopher",D,Rep,0.0,MD,7,1959
600,"Barrow, John",D,Rep,-1337128500000.0,GA,5,1955
601,"Bean, Melissa L.",D,Rep,-1311425500000.0,IL,3,1962
602,"Boren, Daniel David",D,Rep,-1311510500000.0,OK,4,1973
603,"Boustany, Charles W.",R,Rep,-1337195500000.0,LA,6,1956
604,"Campbell, John (of California)",R,Rep,-228549000000.0,CA,5,1955
605,"Carnahan, Russ",D,Rep,-1169851500000.0,MO,4,1958
606,"Cleaver, Emanuel, II",D,Rep,-1172017500000.0,MO,7,1944
607,"Conaway, K. Michael",R,Rep,-1332683500000.0,TX,7,1948
608,"Costa, Jim",D,Rep,-1065932500000.0,CA,7,1952
609,"Cuellar, Henry",D,Rep,-1311313500000.0,TX,7,1955
610,"Davis, Geoffrey C. (Geoff)",R,Rep,-1308815500000.0,KY,4,1958
611,"Dent, Charles W.",R,Rep,-1337313500000.0,PA,7,1960
612,"Drake, Thelma D.",R,Rep,-1309110500000.0,VA,2,1949
613,"Fitzpatrick, Michael G.",R,Rep,-1269116500000.0,PA,4,1963
614,"Fortenberry, Jeff",R,Rep,-1337378500000.0,NE,7,1960
615,"Fortuño, Luis G.",R,Rep,0.0,PR,2,1960
616,"Foxx, Virginia Ann",R,Rep,-1332683500000.0,NC,7,1943
617,"Gohmert, Louie",R,Rep,-1311803500000.0,TX,7,1953
618,"Green, Al",D,Rep,0.0,TX,7,1947
619,"Higgins, Brian",D,Rep,-1148687500000.0,NY,7,1959
620,"Jindal, Bobby",R,Rep,-1266707500000.0,LA,2,1971
621,"Kuhl, John R. (Randy), Jr.",R,Rep,-1311395500000.0,NY,2,1943
622,"Lipinski, Daniel",D,Rep,-1172054500000.0,IL,7,1966
623,"Lungren, Daniel Edward",R,Rep,0.0,CA,4,1946
624,"Mack, Connie, IV",R,Rep,-1309060500000.0,FL,4,1967
625,"Marchant, Kenny",R,Rep,-1332545500000.0,TX,7,1951
626,"Matsui, Doris",D,Rep,-1169621500000.0,CA,7,1944
627,"Mccaul, Michael T.",R,Rep,0.0,TX,7,1962
628,"Mchenry, Patrick T.",R,Rep,0.0,NC,7,1975
629,"Mcmorris rodgers, Cathy",R,Rep,0.0,WA,7,1969
630,"Melancon, Charles J.",D,Rep,-1050851000000.0,LA,3,1947
631,"Moore, Gwendolynne S. (Gwen)",D,Rep,-680441500000.0,WI,7,1951
632,"Poe, Ted",R,Rep,-1295048500000.0,TX,7,1948
633,"Price, Tom",R,Rep,-1332680500000.0,GA,7,1954
